Month,Males 15-24 unemployment rate (%),Males 25-34 unemployment rate (%),Males 35-44 unemployment rate (%),Males 45-54 unemployment rate (%),Males 55-64 unemployment rate (%),Males 65 and over unemployment rate (%),Males 15 and over unemployment rate (%),Males 15-64 unemployment rate (%)
Dec-78,12,3.6,3,3.3,3.7,-,5.5,5.5
Dec-79,11.5,3.5,2.5,2.3,2.9,1.8,5,5.1
Dec-80,11.3,3.5,2.1,2.7,3,1.5,4.9,5.1
Dec-81,11.1,4,2.6,2.4,3.4,1.4,5.1,5.2
Dec-82,17.8,7.4,4.2,4.4,5.2,1.3,9,9.1
Dec-83,18.4,7.5,5.7,5.7,6.7,1.9,9.2,9.4
Dec-84,16.3,6.7,4.5,5.2,6,1.6,8.3,8.4
Dec-85,14.2,6.1,4,4.4,6.5,1.6,7.3,7.3
Dec-86,15.6,6.7,4.4,5.1,7,1.5,8.2,8.2
Dec-87,14.3,6.5,4.3,4.4,6.9,1.3,7.4,7.4
Dec-88,12,5.5,3.5,3.9,5.8,1.4,6.4,6.4
Dec-89,10.9,4.6,3,3.1,5.5,1.7,5.5,5.6
Dec-90,16.3,7.4,4.8,4.3,6.5,1.5,8.1,8.3
Dec-91,20.1,9.7,7.1,6.1,10.6,2.1,10.9,11
Dec-92,20.3,11.2,7.9,6.8,12.8,2.3,11.8,11.9
Dec-93,19,10.3,7.9,7.3,13.9,2.3,11.3,11.4
Dec-94,15.7,8.5,6.2,6.2,10.2,1.8,9,9.1
Dec-95,15.7,7.8,6.1,5.6,9,1.6,8.6,8.7
Dec-96,17.1,7.5,5.9,5.7,8.7,1.8,8.7,8.9
Dec-97,15.8,7.3,5.7,5.4,7.3,1.7,8.2,8.3
Dec-98,14.4,7.1,5.2,5.2,6.9,1.1,7.5,7.6
Dec-99,14,6.4,4.7,4.4,6,1,7,7.1
Dec-00,13.6,5.8,4.7,4.3,4.6,1.2,6.6,6.7
Dec-01,14.6,6.7,4.7,4.4,5.5,1.5,7,7.1
Dec-02,13.3,5.4,4.1,3.9,4.7,1,6.3,6.4
Dec-03,11.6,4.8,4.1,3.3,4,0.9,5.4,5.5
Dec-04,11.4,4.2,3.3,3,3.6,1,5,5.1
Dec-05,11.3,4.4,3,3.1,3.6,0.8,5.1,5.2
Dec-06,9.7,3.8,2.5,2.9,3.1,1.4,4.3,4.3
Dec-07,9.9,3.6,2.4,2.4,2.7,1.2,4.2,4.3
Dec-08,10.5,3.6,2.6,2.6,3,0.9,4.6,4.7
Dec-09,11.8,4.8,3.9,4,3.7,1.4,5.6,5.8
Dec-10,11.5,4.4,2.9,2.7,2.9,1.7,4.6,4.7
Dec-11,11.8,4.3,3.7,2.9,3.6,1.2,4.9,5.1
Dec-12,13.3,4.5,3.5,3.1,3.7,1.9,5.4,5.6
Dec-13,13.2,5.4,4.2,4.2,4.2,1.7,6,6.2
Dec-14,13.5,5.1,4.4,3.9,4.5,2.6,6,6.2
Dec-15,13.4,4.6,4.1,3.8,4.6,1.6,5.6,5.8
Dec-16,14.6,4.7,3.2,3.8,4.4,1.8,5.8,6
Dec-17,14,4.3,3.4,3.8,4.2,1.6,5.7,5.8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
